Company name,Website,Phone,Address,City,State,Pincode,,,email,FB,INSTA,,
Penny's: A Tiny Pet Shop,http://www.pennystinypetshop.com/,+1 954-530-5718,"521 E Commercial Blvd, Oakland Park, FL 33334, United States",Oakland Park,Florida,33334,,vm,,,,,
Pet Supermarket,https://storelocator.petsupermarket.com/florida-okeechobee-3248-us-highway-441-s-479,+1 863-247-2216,"3248 US-441 Units 3-7, Okeechobee, FL 34974, United States",,,34974,,ni,,,,,
Pet Supermarket,https://storelocator.petsupermarket.com/fl-lutz-18445-n-us-hwy-41-224,+1 813-949-4701,"18445 US-41, Lutz, FL 33549, United States",Lutz,Florida,33549,,ni,,,,,
Pet Supplies Plus Hollywood,https://www.petsuppliesplus.com/Store/FL/Hollywood/Hollywood/8047,+1 954-985-3400,"4923 Sheridan St, Hollywood, FL 33021, United States",Hollywood,Florida,33021,,provided business email,,,psp8047@petsurpripseplus.com,,
Pet Supermarket,https://storelocator.petsupermarket.com/fl-sebring-800-sebring-sq-172,+1 863-402-2370,"800 Sebring Square.., Sebring, FL 33870, United States",Sebring,Florida,33870,,spam,,,,,
Pet Supermarket,https://storelocator.petsupermarket.com/fl-ft-lauderdale-801-e-sunrise-blvd-125,+1 954-763-6095,"801 E Sunrise Blvd, Fort Lauderdale, FL 33304, United States",Fort Lauderdale,Florida,33304,,vm,,,,,
Pet Supermarket,https://storelocator.petsupermarket.com/fl-deerfield-beach-3804-w-hillsboro-blvd-349,+1 954-794-6602,"3804 W Hillsboro Blvd, Deerfield Beach, FL 33442, United States",Deerfield Beach,Florida,33442,,not avilabe store person,,,,,
Pet Supermarket,https://storelocator.petsupermarket.com/fl-casselberry-938-semoran-blvd-134,+1 407-834-4128,"938 FL-436, Casselberry, FL 32707, United States",Casselberry,Florida,32707,,co-orpotate office,,,,,
Pet Kingdom,http://www.petkingdom.org/,+1 239-939-3600,"4650 S Cleveland Ave, Fort Myers, FL 33907, United States",Fort Myers,Florida,33907,,ni,,,,,
Pet Supermarket,https://storelocator.petsupermarket.com/fl-orlando-13012-narcoossee-rd-358,+1 407-367-0960,"13012 Narcoossee Rd, Orlando, FL 32832, United States",Orlando,Florida,32832,,vm,,,,,
Blue Sky Puppies Orlando,https://blueskypuppies.com/puppy-stores/orlando/,+1 321-529-0698,"9310 US-192 Suite 102, Clermont, FL 34714, United States",Citrus Ridge,Florida,34714,,hung up,,,,,
ADRIENNE'S PET SHOP,,,"New York, Delancey St, Orlando, FL 32819, United States",,,32819,,,,,,,
Pet Supermarket,https://storelocator.petsupermarket.com/fl-pinecrest-11915-s-dixie-hwy-109,+1 305-251-4441,"11915 S Dixie Hwy, Miami, FL 33156, United States",Pinecrest,Florida,33156,,hung up,,,,,
Pet Supermarket,https://storelocator.petsupermarket.com/fl-tampa-3806-s-dale-mabry-hwy-225,+1 813-835-1117,"3806 S Dale Mabry Hwy, Tampa, FL 33611, United States",Tampa,Florida,33611,,ni,,,,,
Pet Supermarket,https://storelocator.petsupermarket.com/fl-miami-6824-sw-40th-st-207,+1 305-662-6740,"6824 Bird Rd, Miami, FL 33155, United States",the Glenvar Heights,Florida,33155,,corporate office,,,,,
Pet Supermarket,https://storelocator.petsupermarket.com/fl-miramar-3081-sw-160th-ave-102,+1 954-431-0526,"3081 SW 160th Ave, Miramar, FL 33027, United States",Miramar,Florida,33027,,ni,,,,,
Pet Supermarket,https://storelocator.petsupermarket.com/fl-orlando-1675-n-avalon-park-blvd-130-329,+1 407-377-6070,"1675 Avalon Park N Blvd Ste 130, Orlando, FL 32828, United States",,,32828,,vm,,,,,
Pet Supermarket,https://storelocator.petsupermarket.com/fl-deerfield-beach-55-s-federal-hwy-115,+1 954-427-1290,"55 S Federal Hwy, Deerfield Beach, FL 33441, United States",Deerfield Beach,Florida,33441,,ni,,,,,
Pet Supermarket,https://storelocator.petsupermarket.com/fl-ft-lauderdale-3939-n-federal-hwy-101,+1 954-561-0951,"3939 N Federal Hwy, Fort Lauderdale, FL 33308, United States",Oakland Park,Florida,33308,,ni,,,,,
Chews A Puppy,https://www.chewsapuppy.com/,+1 407-439-0440,"11167 W Colonial Dr, Ocoee, FL 34761, United States",Ocoee,Florida,34761,,,,,,,
Petland Pembroke Pines,https://www.petlandflorida.com/,+1 305-363-6898,"356 N University Dr, Pembroke Pines, FL 33024, United States",Pembroke Pines,Florida,33024,,,,,,,
Pet Supermarket,https://storelocator.petsupermarket.com/fl-naples-9985-business-cir-10-214,+1 239-304-1500,"9985 Business Cir N Ste 10, Naples, FL 34112, United States",,,34112,,,,,,,
Health Mutt,http://www.tampahealthmutt.com/,+1 813-231-3137,"5023 N Florida Ave, Tampa, FL 33603, United States",Tampa,Florida,33603,,,,,,,
Pet Supermarket,https://storelocator.petsupermarket.com/fl-orlando-423-s-chickasaw-trl-195,+1 407-277-4339,"423 S Chickasaw Trail, Orlando, FL 32825, United States",,,32825,,,,,,,
Petland Sarasota,https://petlandsarasota.com/?utm_source=GMBlisting&utm_medium=organic,+1 941-265-1487,"8452 Lockwood Ridge Rd, Sarasota, FL 34243, United States",,,34243,,,,,,,
Petco,https://stores.petco.com/fl/brandon/pet-supplies-brandon-fl-2722.html,+1 813-571-0120,"2434 W Brandon Blvd, Brandon, FL 33511, United States",,,33511,,,,,,,
Pet Supermarket,https://storelocator.petsupermarket.com/fl-apopka-534-s-hunt-club-blvd-248,+1 407-682-2020,"534 S Hunt Club Blvd, Apopka, FL 32703, United States",Forest City,Florida,32703,,,,,,,
Puppies Secret,http://www.puppiessecret.com/,+1 786-953-5235,"11924 SW 8th St, Miami, FL 33184, United States",the Tamiami,Florida,33184,,,,,,,
Birdsmart,,+1 813-417-9874,"8344 N Armenia Ave, Tampa, FL 33604, United States",Tampa,Florida,33604,,,,,,,
Animal Pet Shop Corporation,,+1 305-227-4293,"10843 SW 40th St, Miami, FL 33165, United States",University Park,Florida,33165,,,,,,,
Pet Supplies Plus Valrico,https://www.petsuppliesplus.com/Store/FL/Valrico/Valrico/8062,+1 813-540-0645,"1937 State Rd 60, Valrico, FL 33594, United States",Brandon,Florida,33594,,,,,,,
Cat n Dog Stuff,https://catndogstuff.com/,+1 941-627-4093,"2826 Tamiami Trail, Port Charlotte, FL 33952, United States",Port Charlotte,Florida,33952,,,,,,,
Pet Supplies Plus Sarasota East,https://www.petsuppliesplus.com/Store/FL/Sarasota/Sarasota-East/4177,+1 941-893-1440,"5380 Fruitville Rd, Sarasota, FL 34232, United States",Fruitville,Florida,34232,,,,,,,
Pet Supplies Plus Parrish,https://www.petsuppliesplus.com/store/fl/parrish/4417-parrish/4417,+1 941-933-7387,"8900 US-301 Suite 101, Parrish, FL 34219, United States",Parrish,Florida,34219,,,,,,,
Family Pet Center Sarasota,http://www.familypetcentersarasota.com/,+1 941-359-1000,"6230 N Lockwood Ridge Rd, Sarasota, FL 34243, United States",,,34243,,,,,,,
Petco,https://stores.petco.com/fl/kissimmee/pet-supplies-kissimmee-fl-2553.html,+1 407-606-0037,"3201 Vineland Rd, Kissimmee, FL 34746, United States",,,34746,,,,,,,
Pet Supermarket,https://storelocator.petsupermarket.com/fl-deltona-1235-providence-blvd-b-171,+1 386-575-2550,"1235 Providence Blvd Ste B, Deltona, FL 32725, United States",Deltona,Florida,32725,,,,,,,
Pet Supermarket,https://storelocator.petsupermarket.com/fl-port-charlotte-4265-tamiami-trl-143,+1 941-235-0804,"4265 Tamiami Trail, Port Charlotte, FL 33980, United States",Port Charlotte,Florida,33980,,,,,,,
Pet Supermarket,https://storelocator.petsupermarket.com/fl-coral-springs-4500-n-state-rd-7-187,+1 954-972-7947,"4500 N State Rd 7, Coconut Creek, FL 33073, United States",Coconut Creek,Florida,33073,,,,,,,
Petco,https://stores.petco.com/fl/orlando/pet-supplies-orlando-fl-2519.html,+1 407-241-1646,"6751 Eagle Watch Dr, Orlando, FL 32822, United States",,,32822,,,,,,,
"Paradise Pet - Grooming, Aquariums & Pet Supply",http://paradisepetvero.com/,+1 772-905-2232,"1135 US-1, Vero Beach, FL 32960, United States",Vero Beach South,Florida,32960,,,,,,,
Seascape Aquarium & Pet Center,https://seascapeaquariums.com/,+1 941-922-0914,"2162 Gulf Gate Dr, Sarasota, FL 34231, United States",the Gulf Gate Estates,Florida,34231,,,,,,,
Exotic Pets & More Inc,http://www.exoticpetsnmore.com/,+1 863-484-8487,"2941 SW 3rd Terrace, Okeechobee, FL 34974, United States",,,34974,,,,,,,
Taste of Florida At Lang's,https://www.langsuncountry.com/pages/taste-of-florida-cafe,+1 863-956-1460,"5900 Hwy 17, Haines City, FL 33844, United States",,,33844,,,,,,,
World of Coffee,,+1 407-239-9262,"15533 S Apopka Vineland Rd, Orlando, FL 32821, United States",,,32821,,,,,,,
CAFE CLUB,http://cafeclub.co/,+1 754-263-3436,"311 Johnson St, Hollywood, FL 33019, United States",,,33019,,,,,,,
Caffè Di Riverwalk,https://www.facebook.com/CafeDiRiverwalk/,+1 407-328-8792,"225 W Seminole Blvd #160, Sanford, FL 32771, United States",,,32771,,,,,,,
Le Cafe De Paris,http://www.shopcafeparis.com/,+1 407-293-2326,"5170 Dr Phillips Blvd, Orlando, FL 32819, United States",,,32819,,,,,,,
Old Florida Cafe,,+1 352-466-3663,"203 NE Cholokka Blvd, Micanopy, FL 32667, United States",,,32667,,,,,,,
Enjoy Cafe,http://enjoycafeok.com/,+1 954-744-4031,"North Tower Lobby, The Tides, 3801 S Ocean Dr, Hollywood, FL 33019, United States",,,33019,,,,,,,
The Florida Porch Cafe,https://www.facebook.com/FLporch?fref=ts,+1 352-365-1717,"706 W Main St, Leesburg, FL 34748, United States",,,34748,,,,,,,
La Olla Del Cafe (Restaurant),https://zlmap.top/la-olla-del-cafe-restaurant,+1 863-422-8515,"444 U.S. Hwy 17-92 N N, Haines City, FL 33844, United States",,,33844,,,,,,,
Florida Cafe,,,"W 23rd Ave, Hialeah, FL 33016, United States",,,33016,,,,,,,
Express Cafe,http://www.expresscafefl.com/,+1 321-614-0503,"5820 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746, United States",,,34746,,,,,,,
Blue Palmetto Cafe,https://boktowergardens.org/blue-palmetto-cafe/,+1 863-676-1408,"1151 Tower Blvd, Lake Wales, FL 33853, United States",,,33853,,,,,,,
Whistle Stop Cafe,http://www.facebook.com/WhistleStopFL/,+1 813-752-7340,"102 S Collins St, Plant City, FL 33563, United States",,,33563,,,,,,,
World Cafe,https://world-cafe-international.business.site/?utm_source=gmb&utm_medium=referral,+1 407-340-1695,"6582 International Dr #8218, Orlando, FL 32819, United States",,,32819,,,,,,,
Orlando Cat Café,https://orlandocatcafe.com/,+1 352-989-4820,"532 Cagan Park Ave Suite 201-203, Clermont, FL 34714, United States",,,34714,,,,,,,
The Portico Cafe,http://theporticocafe.org/,+1 813-222-2233,"1001 N Florida Ave, Tampa, FL 33602, United States",,,33602,,,,,,,
FL Cafe,https://www.flcafemiamibeach.com/,+1 305-763-8007,"1360 Collins Ave, Miami Beach, FL 33139, United States",,,33139,,,,,,,
Patrona Coastal Café,https://www.patronacoastalcafe.com/,+1 727-353-0636,"13090 Gandy Blvd N, St. Petersburg, FL 33702, United States",,,33702,,,,,,,
La Florida Coffee & Wine,https://lafloridacoffeewine.com/,+1 850-938-7745,"350 S Duval St, Tallahassee, FL 32301, United States",,,32301,,,,,,,
Le Cafe In,,+1 954-589-2392,"1866 N Young Cir, Hollywood, FL 33020, United States",,,33020,,,,,,,
House Blend Cafe,,+1 407-656-7676,"10730 W Colonial Dr, Ocoee, FL 34761, United States",,,34761,,,,,,,
Cozy Coffee Cafe,http://www.cozycoffeecafe.com/,+1 813-373-5207,"13312 Telecom Dr, Temple Terrace, FL 33637, United States",,,33637,,,,,,,
CFS Coffee Dr. Phillips,https://www.cfscoffee.com/,+1 407-250-5724,"7535 W Sand Lake Rd, Orlando, FL 32819, United States",,,32819,,,,,,,
My French Cafe,http://my-frenchcafe.com/,+1 407-347-8945,"5931, 7782 Winter Garden Vineland Rd # 100, Windermere, FL 34786, United States",,,34786,,,,,,,
Café in,http://www.cafeinus.com/,+1 239-362-3120,"4125 Cleveland Ave #1345, Fort Myers, FL 33901, United States",,,33901,,,,,,,
Revelations Cafe,http://www.revelations-cafe.com/,+1 813-442-5697,"17808 N Dale Mabry Hwy, Lutz, FL 33548, United States",,,33548,,,,,,,
Vespr Coffee Bar,,+1 407-442-3361,"626 N Alafaya Trail #105, Orlando, FL 32828, United States",,,32828,,,,,,,
Grand Floridian Cafe,https://disneyworld.disney.go.com/dining/grand-floridian-resort-and-spa/grand-floridian-cafe/?CMP=OKC-90001724_GM_WDW_dining_grandfloridiancafe_NA,+1 407-939-5277,"4401 Floridian Way, Orlando, FL 32836, United States",,,32836,,,,,,,
Too Cool Cafe,https://toocoolcafe.com/,+1 321-777-3735,"2051 S Patrick Dr, Indian Harbour Beach, FL 32937, United States",,,32937,,,,,,,
Old Florida Coffee Co,https://oldfloridacoffee.com/,+1 772-618-1771,"100 Avenue A, Fort Pierce, FL 34950, United States",,,34950,,,,,,,
Crystal Bay Cafeteria Inc,http://crystal-bay-cafe.square.site/,+1 813-226-2227,"800 E Twiggs St, Tampa, FL 33602, United States",,,33602,,,,,,,
Just Love Coffee Cafe - Brandon FL,http://justlovecoffeecafe.com/brandon-fl/,+1 813-381-4395,"2020 W Brandon Blvd Suite 105, Brandon, FL 33511, United States",,,33511,,,,,,,
Mon Ami Cafe,https://monamicafe.business.site/?utm_source=gmb&utm_medium=referral,+1 941-303-6621,"1740 E Venice Ave #19, Venice, FL 34292, United States",,,34292,,,,,,,
Cafe Con Leche Ybor City,https://www.facebook.com/CafeConLecheTPA/,,"Tampa International Airport, Airside C, 4201 Bessie Coleman Blvd #31, Tampa, FL 33607, United States",,,33607,,,,,,,
Miami Port Cafe,http://www.instagram.com/miamiportcafe,+1 305-767-5176,"1007 N America Wy # 100, Miami, FL 33132, United States",,,33132,,,,,,,
Sweet Cup Cafe,https://m.facebook.com/Sweet-Cup-Cafe-107638904406632/,+1 863-603-8464,"1401 Lakeland Hills Blvd, Lakeland, FL 33805, United States",,,33805,,,,,,,
The Blind Tiger Cafe - Ybor City,http://www.blindtigercafe.com/,+1 813-540-2233,"1823 E 7th Ave, Tampa, FL 33605, United States",,,33605,,,,,,,
John 3:16 Caffe,http://www.john316caffe.com/,+1 407-973-3383,"1031 New York Ave, St Cloud, FL 34769, United States",,,34769,,,,,,,
Concord Coffee,http://www.concordcoffee.com/,,"1037 Florida Ave S #135, Lakeland, FL 33803, United States",,,33803,,,,,,,
Café Con Leche,http://www.baysidemarketplace.com/directory/restaurants/item/cafe-con-leche-2,+1 305-525-6445,"401 Biscayne Blvd, Miami, FL 33132, United States",,,33132,,,,,,,
Reggae Cafe,https://www.myreggaecafe.com/,+1 352-931-0996,"302 W Orange St, Groveland, FL 34736, United States",,,34736,,,,,,,
Postal 98 Cafe,https://www.postal98cafe.com/,+1 941-260-8862,"1240 Yoder Ave, Sarasota, FL 34239, United States",,,34239,,,,,,,
Keke's Breakfast Cafe,http://www.kekes.com/,+1 813-345-8495,"22952 FL-54 Suite 510, Lutz, FL 33549, United States",,,33549,,,,,,,
J&K's Cafe,https://jks-cafe-restaurant.business.site/,+1 941-621-2481,"23111 Harbor View Rd, Port Charlotte, FL 33952, United States",,,33952,,,,,,,
Brick House Cafe,http://brickhousecafepc.com/,+1 813-752-8546,"206 S Evers St, Plant City, FL 33563, United States",,,33563,,,,,,,
The Grind Caffé,,,"Florida 33126, United States",,,33126,,,,,,,
Comic Strip Cafe,https://www.universalorlando.com/web/en/us/things-to-do/dining/comic-strip-cafe,+1 407-363-8000,"6000 Universal Blvd, Orlando, FL 32819, United States",,,32819,,,,,,,
Le Petit Jardin Cafe,http://lepetitjardincafe.com/,+1 941-244-3231,"1500 E Venice Ave #401, Venice, FL 34292, United States",,,34292,,,,,,,
Independent Bar and Cafe,https://www.independentbartampa.com/,+1 813-341-4883,"5016 N Florida Ave, Tampa, FL 33603, United States",,,33603,,,,,,,
The Ranch Taproom & Coffeehouse,http://theranchlw.com/,+1 863-589-5100,"247 E Park Ave, Lake Wales, FL 33853, United States",,,33853,,,,,,,
Tropical Smoothie Cafe,https://locations.tropicalsmoothiecafe.com/fl/davenport/7920-lake-wilson-road?y_source=1_MTA5MDM4MjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 863-420-4444,"7920 Lake Wilson Rd, Davenport, FL 33896, United States",,,33896,,,,,,,
Tropical Smoothie Cafe,https://locations.tropicalsmoothiecafe.com/fl/celebration/54-riley-road?y_source=1_MTA5MDM4MjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 407-566-8636,"54 Riley Rd, Celebration, FL 34747, United States",,,34747,,,,,,,
Subculture Coffee,http://www.subculturecoffee.com/,+1 561-318-5142,"509 Clematis St, West Palm Beach, FL 33401, United States",,,33401,,,,,,,
Easy Luck Coffee & Bodega,https://www.easyluckorlando.com/,+1 407-476-3799,"2425 E South St, Orlando, FL 32803, United States",,,32803,,,,,,,
Parkside Cafe,http://www.myparksidecafe.com/,+1 727-546-3600,"8180 49th St N, Pinellas Park, FL 33781, United States",,,33781,,,,,,,
The Coffee Showroom,http://tcs.cafe/,+1 954-488-2461,"1900 NE Miami Ct, Miami, FL 33132, United States",,,33132,,,,,,,
Perq Coffee Bar,http://www.perqcoffeebar.us/,+1 941-955-8101,"1821 Hillview St, Sarasota, FL 34239, United States",,,34239,,,,,,,
The Corner Cafe & Deli,http://www.thecornercafeanddeli.com/,+1 813-273-9711,"100 Ashley Dr S #220, Tampa, FL 33602, United States",,,33602,,,,,,,
Toasted Mango Cafe,http://www.toastedmangocafe.com/,+1 941-388-7728,"430 N Tamiami Trail, Sarasota, FL 34236, United States",,,34236,,,,,,,
Starbucks at Cabana Bay Beach Resort,https://www.starbucks.com/store-locator/store/1006713,+1 407-503-4000,"6550 Adventure Wy, Orlando, FL 32819, United States",,,32819,,,,,,,
George's Cafe,http://www.georgescafeandcatering.com/,+1 407-622-1499,"505 N Park Ave Suite 109, Winter Park, FL 32789, United States",,,32789,,,,,,,
Starbucks,https://www.starbucks.com/store-locator/store/113245/,+1 863-229-5973,"131 Landings Blvd, Winter Haven, FL 33880, United States",,,33880,,,,,,,
Munchies 420 Cafe,http://www.munchies420cafe.com/,+1 941-303-3304,"6639 Superior Ave, Sarasota, FL 34231, United States",,,34231,,,,,,,
Unfiltered Bartow,https://unfilteredflorida.com/,+1 813-481-1234,"160 S Broadway Ave, Bartow, FL 33830, United States",,,33830,,,,,,,
Tropical Smoothie Cafe,https://locations.tropicalsmoothiecafe.com/fl/winter-haven/5721-cypress-gardens-blvd?y_source=1_MTMxODQwNzYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 863-324-1919,"5721 Cypress Gardens Blvd, Winter Haven, FL 33884, United States",,,33884,,,,,,,
Maximillian's Cafe,http://www.maximillianscafe.com/,+1 941-330-0245,"1695 10th St, Sarasota, FL 34236, United States",,,34236,,,,,,,
Cafe Terra,,+1 407-369-1840,,,,,,,,,,,
Tropical Smoothie Cafe,https://locations.tropicalsmoothiecafe.com/fl/saint-petersburg/1201-4th-st-n?y_source=1_MTA5MDM3NjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 727-821-3100,"1201 4th St N, St. Petersburg, FL 33701, United States",,,33701,,,,,,,
Tropical Smoothie Cafe,https://locations.tropicalsmoothiecafe.com/fl/sun-city-center/3726-sun-city-center-blvd-103?y_source=1_MjAzODUzMzctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 813-642-0623,"3726 Sun City Center Blvd #103, Sun City Center, FL 33573, United States",,,33573,,,,,,,
Tropical Smoothie Cafe,https://locations.tropicalsmoothiecafe.com/fl/bradenton/1007-1st-st-west?y_source=1_MTA5MDM4MzYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 941-747-0505,"1007 1st St W, Bradenton, FL 34208, United States",,,34208,,,,,,,
Tropical Smoothie Cafe,https://locations.tropicalsmoothiecafe.com/fl/bartow/1490-n-broadway-ave?y_source=1_MTA5MDM3NDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 863-519-9111,"1490 N Broadway Ave, Bartow, FL 33830, United States",,,33830,,,,,,,
Cats and Caffeine,https://www.catscaffeine.com/,,"4033 Henderson Blvd, Tampa, FL 33629, United States",,,33629,,,,,,,
Papasan's Vietnamese Cafe,http://facebook.com/papasanscafe,+1 321-877-4906,"400 N Cocoa Blvd, Cocoa, FL 32922, United States",,,32922,,,,,,,
Tropical Smoothie Cafe,https://locations.tropicalsmoothiecafe.com/fl/merritt-island/700-e-merritt-island-causeway?y_source=1_MTA5MDM3NzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 321-454-2303,"700 E Merritt Island Cswy Suite 2, Merritt Island, FL 32952, United States",,,32952,,,,,,,
Tropical Smoothie Cafe,https://locations.tropicalsmoothiecafe.com/fl/melbourne/1700-west-new-haven-avenue?y_source=1_MTA5MDM3ODAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 321-768-9731,"1700 W New Haven Ave Suite 375, Melbourne, FL 32904, United States",,,32904,,,,,,,
Tropical Smoothie Cafe,https://locations.tropicalsmoothiecafe.com/fl/zephyrhills/7898-gall-blvd?y_source=1_MjM4MTE0NTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 813-438-5446,"7898 Gall Blvd, Zephyrhills, FL 33541, United States",,,33541,,,,,,,
Another Broken Egg Cafe,https://www.anotherbrokenegg.com/locations/tampa-fl/,+1 813-769-9906,"4041 S Dale Mabry Hwy, Tampa, FL 33611, United States",,,33611,,,,,,,
Cafeteria,,,"Princeton, FL 33032, United States",,,33032,,,,,,,
Tropical Smoothie Cafe,https://locations.tropicalsmoothiecafe.com/fl/brandon/2330-w-brandon-blvd?y_source=1_MTA5MDM3NjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 813-689-6200,"2330 W Brandon Blvd, Brandon, FL 33511, United States",,,33511,,,,,,,
Tropical Smoothie Cafe,https://locations.tropicalsmoothiecafe.com/fl/seffner/4016-highview-road?y_source=1_MjY4OTU4MDctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 813-436-0252,"4016 Highview Rd, Seffner, FL 33584, United States",,,33584,,,,,,,
Tropical Smoothie Cafe,https://locations.tropicalsmoothiecafe.com/fl/tampa/5006-east-fowler-avenue?y_source=1_MTA5MDM4NjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 813-252-3427,"5006 E Fowler Ave, Tampa, FL 33617, United States",,,33617,,,,,,,
Tropical Smoothie Cafe,https://locations.tropicalsmoothiecafe.com/fl/melbourne/3682-n-wickham-rd?y_source=1_MTA5MDM4MjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 321-426-7704,"3682 N Wickham Rd Suite E, Melbourne, FL 32935, United States",,,32935,,,,,,,
Pão Gostoso Bakery,https://www.paogostosobakery.getsauce.com/,+1 407-447-8946,"5472 International Dr, Orlando, FL 32819, United States",,,32819,,,,,,,
Tropical Smoothie Cafe,https://locations.tropicalsmoothiecafe.com/fl/st-petersburg/4621-34th-st-s?y_source=1_MzYyMTAxMjgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 727-202-7124,"4621 34th St S, St. Petersburg, FL 33711, United States",,,33711,,,,,,,
Cafetería,,,"2800 NW 27th Ave, Miami, FL 33142, United States",,,33142,,,,,,,
Farmer's Market Restaurant,,+1 305-242-0008,"300 N Krome Ave #17, Florida City, FL 33034, United States",,,33034,,,,,,,
